지점번호|요소|날짜/시각|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|
281|강수량 (mm)|20191012|||||||||||||||||||||||||
281|강수량 (mm)|20191013|||||||||||||||||||||||||
281|강수량 (mm)|20191014|||||||||||||||||||||||||
281|강수량 (mm)|20191015|0.4|0.6|0.0||||||||||||||||||||||
281|강수량 (mm)|20191016|||||||||||||||||||||||||
281|강수량 (mm)|20191017|||||||||||||||||||||||||
281|강수량 (mm)|20191018|||||||||0.3|0.7|0.0|0.5|0.5|0.5|1.0|0.0|||||0.0|||0.5|
281|강수량 (mm)|20191019|0.1|0.3|0.6|2.0|0.0||||||||||||||||||||
281|강수량 (mm)|20191020|||||||||||||||||||||||||
281|강수량 (mm)|20191021|||||||||||||||||||||||||
281|강수량 (mm)|20191022|||||||||||||||||||||||||
281|강수량 (mm)|20191023|||||||||||||||||0.0||||||||
281|강수량 (mm)|20191024|||||||||||||||0.0||||||||||
281|강수량 (mm)|20191025|||||||||||||||||||||||||
281|강수량 (mm)|20191026|||||||||||||||||||||||||
281|강수량 (mm)|20191027|||||||||||||||||||||||||
281|강수량 (mm)|20191028|||||||||||||||||||||||||
281|강수량 (mm)|20191029|||||||||||||||||||||||||
281|강수량 (mm)|20191030|||||||||||||||||||||||||
281|강수량 (mm)|20191031|||||||||||||||||||||||||
281|강수량 (mm)|20191101|||||||||||||||||||||||||
281|강수량 (mm)|20191102|||||||||||||||||||||||||
281|강수량 (mm)|20191103||||||||||||||||||6.5|||0.0||||
281|강수량 (mm)|20191104|||||||||||||||||||||||||
281|강수량 (mm)|20191105|||||||||||||||||||||||||
281|강수량 (mm)|20191106|||||||||||||||||||||||||
281|강수량 (mm)|20191107|||||||||||||||||||||||||
281|강수량 (mm)|20191108|||||||||||||||||||||||||
281|강수량 (mm)|20191109|||||||||||||||||||||||||
281|강수량 (mm)|20191110||||||||||||||||||||||||7.0|
281|강수량 (mm)|20191111|||0.0||||||||||||||||||||||
281|강수량 (mm)|20191112|||||||||||||||||||||||||
281|강수량 (mm)|20191113|||||||||||||||||||||||||
281|강수량 (mm)|20191114|||||||||||||||||||||||||
281|강수량 (mm)|20191115|||||||||||||||||||||||||
281|강수량 (mm)|20191116|||||||||||||||||||||||||
281|강수량 (mm)|20191117||||||||||||0.0|||||||||||||
281|강수량 (mm)|20191118|||0.5|||11.0|||1.0||||||||||||||||
281|강수량 (mm)|20191119|||||||||||||||||||||||||
281|강수량 (mm)|20191120|||||||||||||||||||||||||
281|강수량 (mm)|20191121|||||||||||||||||||||||||
281|강수량 (mm)|20191122|||||||||||||||||||||||||
281|강수량 (mm)|20191123|||||||||||||||||||||||||
281|강수량 (mm)|20191124|||||||||||||||||||||||||
281|강수량 (mm)|20191125|||||||||||||||||||||||||
281|강수량 (mm)|20191126|||||||||||||||||||||||||
281|강수량 (mm)|20191127|||||||||||||||||||||||||
281|강수량 (mm)|20191128|||||||||||||||||||||||||
281|강수량 (mm)|20191129|||||||||||||||||||||||||
281|강수량 (mm)|20191130|||||||||||||||||||||||||
281|강수량 (mm)|20191201|||0.0|||||||||0.1|||1.4|||8.0|||6.5|||7.0|
281|강수량 (mm)|20191202|||0.5||||||||||||||||||||||
281|강수량 (mm)|20191203|||||||||||||||||||||||||
281|강수량 (mm)|20191204|||||||||||||||||||||||||
281|강수량 (mm)|20191205|||||||||||||||||||||||||
281|강수량 (mm)|20191206|||||||||||||||||||||||||
281|강수량 (mm)|20191207|||||||||||||||||||||||||
281|강수량 (mm)|20191208|||||||||||||||||||||||||
281|강수량 (mm)|20191209|||||||||||||||||||||||||
281|강수량 (mm)|20191210|||||||||||||||||||||||||
281|강수량 (mm)|20191211|||||||||||||||||||||||||
281|강수량 (mm)|20191212|||||||||||||||||||||||||
281|강수량 (mm)|20191213|||||||||||||||||||||||||
281|강수량 (mm)|20191214|||||||||||||||||||||||||
281|강수량 (mm)|20191215|||0.0||||||||||||||||||||||
281|강수량 (mm)|20191216|||||||||||||||||||||||||
281|강수량 (mm)|20191217||||||||||||0.0|||||||||||||
281|강수량 (mm)|20191218|||||||||||||||||||||||||
281|강수량 (mm)|20191219|||||||||||||||||||||||||
281|강수량 (mm)|20191220|||||||||||||||||||||||||
281|강수량 (mm)|20191221|||||||||||||||||||||||||
281|강수량 (mm)|20191222|||||||||||||||||||||||||
281|강수량 (mm)|20191223|||||||||||||||||||||||||
281|강수량 (mm)|20191224|||||||||||||||||||||||||
281|강수량 (mm)|20191225|||||||||||||||||||||||||
281|강수량 (mm)|20191226|||||||||0.0|||0.0|||1.5|||0.5|||||||
281|강수량 (mm)|20191227|||||||||||||||||||||||||
281|강수량 (mm)|20191228|||||||||||||||||||||||||
281|강수량 (mm)|20191229|||||||||||||||||||||1.0|||2.0|
281|강수량 (mm)|20191230|||2.0|||0.0|||||||||||||||||||
281|강수량 (mm)|20191231|||||||||||||||||||||||||
